antecedents,consequents,support,confidence,lift
"MntFishProducts, MntGoldProds, MntMeatProducts",MntSweetProducts,0.716476992,0.888888889,1.093392845
MntSweetProducts,"MntFishProducts, MntGoldProds, MntMeatProducts",0.716476992,0.881314668,1.093392845
"MntFishProducts, MntGoldProds","MntMeatProducts, MntSweetProducts",0.716476992,0.888343558,1.093387534
"MntMeatProducts, MntSweetProducts","MntFishProducts, MntGoldProds",0.716476992,0.881851401,1.093387534
"MntFishProducts, MntGoldProds, MntWines",MntSweetProducts,0.711528946,0.888751545,1.093223903
"MntFishProducts, MntGoldProds, MntMeatProducts, MntWines",MntSweetProducts,0.711528946,0.888751545,1.093223903
MntSweetProducts,"MntFishProducts, MntGoldProds, MntWines",0.711528946,0.875228241,1.093223903
MntSweetProducts,"MntFishProducts, MntGoldProds, MntMeatProducts, MntWines",0.711528946,0.875228241,1.093223903
"MntFishProducts, MntGoldProds, MntMeatProducts","MntSweetProducts, MntWines",0.711528946,0.882750153,1.093160576
"MntSweetProducts, MntWines","MntFishProducts, MntGoldProds, MntMeatProducts",0.711528946,0.881127451,1.093160576
"MntGoldProds, MntSweetProducts, MntWines",MntFruits,0.711034142,0.897564022,1.092757162
"MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines",MntFruits,0.711034142,0.897564022,1.092757162
"MntGoldProds, MntSweetProducts, MntWines","MntFruits, MntMeatProducts",0.711034142,0.897564022,1.092757162
MntFruits,"MntGoldProds, MntSweetProducts, MntWines",0.711034142,0.865662651,1.092757162
"MntFruits, MntMeatProducts","MntGoldProds, MntSweetProducts, MntWines",0.711034142,0.865662651,1.092757162
MntFruits,"MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines",0.711034142,0.865662651,1.092757162
"MntFishProducts, MntGoldProds","MntSweetProducts, MntWines",0.711528946,0.882208589,1.092489925
"MntFishProducts, MntGoldProds","MntMeatProducts, MntSweetProducts, MntWines",0.711528946,0.882208589,1.092489925
"MntSweetProducts, MntWines","MntFishProducts, MntGoldProds",0.711528946,0.881127451,1.092489925
"MntMeatProducts, MntSweetProducts, MntWines","MntFishProducts, MntGoldProds",0.711528946,0.881127451,1.092489925
"MntFishProducts, MntGoldProds, MntWines",MntFruits,0.717961405,0.896786156,1.091810133
"MntFishProducts, MntGoldProds, MntMeatProducts, MntWines",MntFruits,0.717961405,0.896786156,1.091810133
"MntFishProducts, MntGoldProds, MntWines","MntFruits, MntMeatProducts",0.717961405,0.896786156,1.091810133
MntFruits,"MntFishProducts, MntGoldProds, MntWines",0.717961405,0.874096386,1.091810133
"MntFruits, MntMeatProducts","MntFishProducts, MntGoldProds, MntWines",0.717961405,0.874096386,1.091810133
MntFruits,"MntFishProducts, MntGoldProds, MntMeatProducts, MntWines",0.717961405,0.874096386,1.091810133
"MntFruits, MntGoldProds, MntWines","MntMeatProducts, MntSweetProducts",0.711034142,0.887037037,1.091779447
"MntMeatProducts, MntSweetProducts","MntFruits, MntGoldProds, MntWines",0.711034142,0.875152253,1.091779447
"MntFruits, MntGoldProds","MntMeatProducts, MntSweetProducts",0.714002969,0.88690842,1.091621144
"MntMeatProducts, MntSweetProducts","MntFruits, MntGoldProds",0.714002969,0.878806334,1.091621144
"MntFruits, MntGoldProds, MntWines",MntSweetProducts,0.711034142,0.887037037,1.091114943
"MntFruits, MntGoldProds, MntMeatProducts, MntWines",MntSweetProducts,0.711034142,0.887037037,1.091114943
MntSweetProducts,"MntFruits, MntGoldProds, MntWines",0.711034142,0.874619598,1.091114943
MntSweetProducts,"MntFruits, MntGoldProds, MntMeatProducts, MntWines",0.711034142,0.874619598,1.091114943
"MntFruits, MntGoldProds",MntSweetProducts,0.714002969,0.88690842,1.090956736
"MntFruits, MntGoldProds, MntMeatProducts",MntSweetProducts,0.714002969,0.88690842,1.090956736
MntSweetProducts,"MntFruits, MntGoldProds",0.714002969,0.878271455,1.090956736
MntSweetProducts,"MntFruits, MntGoldProds, MntMeatProducts",0.714002969,0.878271455,1.090956736
"MntGoldProds, MntMeatProducts, MntSweetProducts","MntFruits, MntWines",0.711034142,0.891992551,1.090572865
"MntFruits, MntWines","MntGoldProds, MntMeatProducts, MntSweetProducts",0.711034142,0.869328494,1.090572865
"MntGoldProds, MntMeatProducts, MntSweetProducts",MntFruits,0.714002969,0.895716946,1.090508402
MntFruits,"MntGoldProds, MntMeatProducts, MntSweetProducts",0.714002969,0.869277108,1.090508402
"MntMeatProducts, MntSweetProducts","MntFishProducts, MntWines",0.725383474,0.892813642,1.090257626
"MntFishProducts, MntWines","MntMeatProducts, MntSweetProducts",0.725383474,0.885800604,1.090257626
"MntGoldProds, MntMeatProducts, MntSweetProducts","MntFishProducts, MntWines",0.711528946,0.892613284,1.090012958
"MntFishProducts, MntWines","MntGoldProds, MntMeatProducts, MntSweetProducts",0.711528946,0.868882175,1.090012958
"MntGoldProds, MntSweetProducts","MntFruits, MntWines",0.711034142,0.891439206,1.089896331
"MntGoldProds, MntSweetProducts","MntFruits, MntMeatProducts, MntWines",0.711034142,0.891439206,1.089896331
"MntFruits, MntWines","MntGoldProds, MntSweetProducts",0.711034142,0.869328494,1.089896331
"MntFruits, MntMeatProducts, MntWines","MntGoldProds, MntSweetProducts",0.711034142,0.869328494,1.089896331
MntSweetProducts,MntFishProducts,0.730826324,0.898965307,1.089867358
MntFishProducts,MntSweetProducts,0.730826324,0.886022795,1.089867358
"MntGoldProds, MntSweetProducts",MntFruits,0.714002969,0.89516129,1.089831908
